SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/8/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/9/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/10/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/11/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/12/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/13/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/14/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/15/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/16/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/17/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/18/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/19/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/20/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/21/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/22/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/23/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/24/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","1E-06","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/25/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/26/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/27/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/28/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/29/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/30/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/1/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/2/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/3/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/4/2024","6db4a779-0d75-481a-af26-026ccf5795c8","Bandwidth","Inter-Region","South America","Intra Continent Data Transfer Out","0","0.000000"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/8/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.2618","0.000393"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/9/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.0076","0.000012"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/11/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.004","0.000006"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/16/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.0038","0.000006"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/17/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.0038","0.000006"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/19/2024","60e3c37c-1ab8-41f8-891d-047657ae5ef4","Storage","Files v2","BR South","ZRS Read Operations","0.004","0.000006"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/5/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/6/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/7/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/8/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/9/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/10/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/11/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/12/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/13/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/14/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/15/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/16/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/17/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/18/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/19/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/20/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/21/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/22/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/23/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/24/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/25/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/26/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/27/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/28/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/29/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/30/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.033336","1.194768"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/1/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/2/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/3/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/4/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.030912","1.107887"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/8/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","236.88832","3.103237"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/9/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/10/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/11/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/12/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/13/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/14/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/15/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/16/2024","c52a982d-f2ca-46c2-9e2a-06dae03a531d","Functions","Premium","BR South","Premium Memory Duration","252","3.301200"
